AOP,AOP,Title,Event,EventType,Description,NLP ASPIS
Aop:27,27,"Cholestatic Liver Injury induced by Inhibition
of the Bile Salt Export Pump (ABCB11)",Event:288,KeyEvent,"Activation of specific nuclear receptors, Transcriptional change","not found - but this is very general. Actually refers to the bile acid receptor, but nothing was found queying that term."
Aop:27,27,"Cholestatic Liver Injury induced by Inhibition
of the Bile Salt Export Pump (ABCB11)",Event:214,KeyEvent,"Bile accumulation, Pathological condition","""retention of bile acids"", ""increases in bile acid levels"""
Aop:27,27,"Cholestatic Liver Injury induced by Inhibition
of the Bile Salt Export Pump (ABCB11)",Event:357,AdverseOutcome,"Cholestasis, Pathology","""cholestasis"""
Aop:27,27,"Cholestatic Liver Injury induced by Inhibition
of the Bile Salt Export Pump (ABCB11)",Event:149,KeyEvent,"Increase, Inflammation","""increased inflammation"""
Aop:27,27,"Cholestatic Liver Injury induced by Inhibition
of the Bile Salt Export Pump (ABCB11)",Event:41,MolecularInitiatingEvent,"Inhibition, Bile Salt Export Pump (ABCB11)","""Inhibition of the bile salt export protein"""
Aop:27,27,"Cholestatic Liver Injury induced by Inhibition
of the Bile Salt Export Pump (ABCB11)",Event:209,KeyEvent,Peptide Oxidation,not found
Aop:27,27,"Cholestatic Liver Injury induced by Inhibition
of the Bile Salt Export Pump (ABCB11)",Event:249,KeyEvent,"Production, Reactive oxygen species","""ROS generation"", ""increase in ROS production"""
Aop:27,27,"Cholestatic Liver Injury induced by Inhibition
of the Bile Salt Export Pump (ABCB11)",Event:87,KeyEvent,"Release, Cytokine","""synthesis of pro-inflammatory cytokines"", ""generation of pro-inflammatory cytokines"""
Aop:34,34,LXR Activation to Liver Steatosis,Event:291,KeyEvent,"Accumulation, Triglyceride","""storage of triglycerides"""
Aop:34,34,LXR Activation to Liver Steatosis,Event:66,KeyEvent,"Activation, ChREBP",not found
Aop:34,34,LXR Activation to Liver Steatosis,Event:116,KeyEvent,"Activation, FAS","""fatty acid synthase"""
Aop:34,34,LXR Activation to Liver Steatosis,Event:167,MolecularInitiatingEvent,"Activation, LXR","""Activation of liver X receptor"""
Aop:34,34,LXR Activation to Liver Steatosis,Event:258,KeyEvent,"Activation, SCD-1",not found
Aop:34,34,LXR Activation to Liver Steatosis,Event:264,KeyEvent,"Activation, SREBP-1c","""induction of SREBP1 (sterol-regulatory-element-binding protein"""
Aop:34,34,LXR Activation to Liver Steatosis,Event:176,KeyEvent,"Damaging, Mitochondria","""damage in mitochondria"",""depolarization of isolated hepatic mitochondria"""
Aop:34,34,LXR Activation to Liver Steatosis,Event:115,KeyEvent,"Increase, FA Influx","""upregulation of fatty acid uptake"""
Aop:34,34,LXR Activation to Liver Steatosis,Event:345,AdverseOutcome,"N/A, Liver Steatosis","""steatosis"""
Aop:34,34,LXR Activation to Liver Steatosis,Event:228,MolecularInitiatingEvent,peroxisome proliferator activated receptor promoter demethylation,not found
Aop:34,34,LXR Activation to Liver Steatosis,Event:89,KeyEvent,"Synthesis, De Novo FA","""increased de novo lipogenesis, ""increased fatty acid synthesis"""
Aop:34,34,LXR Activation to Liver Steatosis,Event:54,KeyEvent,"Up Regulation, CD36","not found, could have been found in 35491243"
Aop:36,36,"Peroxisomal Fatty Acid Beta-Oxidation
Inhibition Leading to Steatosis",Event:327,KeyEvent,"Accumulation, Fatty acid","""accumulation of saturated fatty acids"""
Aop:36,36,"Peroxisomal Fatty Acid Beta-Oxidation
Inhibition Leading to Steatosis",Event:8,KeyEvent,"Decreased, 3-hydroxyacyl-CoA dehydrogenase type-2 activity",not found
Aop:36,36,"Peroxisomal Fatty Acid Beta-Oxidation
Inhibition Leading to Steatosis",Event:140,KeyEvent,"Decreased, HSD17B10 expression",not found
Aop:36,36,"Peroxisomal Fatty Acid Beta-Oxidation
Inhibition Leading to Steatosis",Event:179,KeyEvent,"Decreased, Mitochondrial fatty acid beta-oxidation","""impairment of mitochondrial fatty acid oxidation"", ""decrease fatty acid oxidation"""
Aop:36,36,"Peroxisomal Fatty Acid Beta-Oxidation
Inhibition Leading to Steatosis",Event:231,MolecularInitiatingEvent,"Decreased, PPAR-alpha activation",not found
Aop:36,36,"Peroxisomal Fatty Acid Beta-Oxidation
Inhibition Leading to Steatosis",Event:232,MolecularInitiatingEvent,"Decreased, PPAR-beta activation",not found
Aop:36,36,"Peroxisomal Fatty Acid Beta-Oxidation
Inhibition Leading to Steatosis",Event:233,MolecularInitiatingEvent,"Decreased, PPAR-gamma activation",not found
Aop:36,36,"Peroxisomal Fatty Acid Beta-Oxidation
Inhibition Leading to Steatosis",Event:459,AdverseOutcome,"Increased, Liver Steatosis","""worsened hepatic steatosis"", ""'increased adiposity and hepatic steatosis'"""
Aop:57,57,AhR activation to steatosis,Event:327,KeyEvent,"Accumulation, Fatty acid","""accumulation of saturated fatty acids"""
Aop:57,57,AhR activation to steatosis,Event:455,AdverseOutcome,"Accumulation, Liver lipid","""lipid accumulation"""
Aop:57,57,AhR activation to steatosis,Event:291,KeyEvent,"Accumulation, Triglyceride","""storage of triglycerides"""
Aop:57,57,AhR activation to steatosis,Event:18,MolecularInitiatingEvent,"Activation, AhR",not found; not recognized as entity
Aop:57,57,AhR activation to steatosis,Event:216,KeyEvent,"Decreased, PCK1 expression (control point for glycolysis/gluconeogenesis pathway)",not found
Aop:57,57,AhR activation to steatosis,Event:465,KeyEvent,"Increased, FA Influx","""upregulation of fatty acid uptake"""
Aop:57,57,AhR activation to steatosis,Event:467,KeyEvent,"Increased, LDL uptake","""upregulation of fatty acid uptake"""
Aop:57,57,AhR activation to steatosis,Event:451,KeyEvent,"Inhibition, Mitochondrial fatty acid beta-oxidation","""impairment of mitochondrial fatty acid oxidation"", ""decrease fatty acid oxidation"""
Aop:57,57,AhR activation to steatosis,Event:450,KeyEvent,"Suppression, VLDL secretion",“impairment of VLDL secretion”
Aop:57,57,AhR activation to steatosis,Event:54,KeyEvent,"Up Regulation, CD36","not found, could have been found in 35491243"
