compound_name,SMILES,DTXSID,pmids,n_articles
Rifampicin,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C,DTXSID6021244,"['36053506', '36032444', '35978342', '35970966', '35953158', '35939511', '35907401', '35889510', '35852370', '35840102', '35830449', '35811670', '35806386', '35753771', '35738191', '35698158', '35691172', '35652251', '35650700', '35647655', '35636769', '35597399', '35583344', '35484684', '35410160', '35398118', '35354423', '35331064', '35314168', '35263627', '35229613', '35220372', '35175905', '35170994', '35143881', '35134182', '35120633', '35062050', '34988621', '34949673', '34916468', '34890996', '34882041', '34871098', '34861348', '34762904', '34742755', '34689256', '34554580', '34536516', '34518943', '34440614', '34400340', '34389250', '34363979', '34313117', '34275812', '34270593', '34244539', '34171773', '34126112', '34057810', '34021478', '34021354', '33963620', '33924701', '33851518', '33840577', '33836038', '33823277', '33813119', '33767092', '33730100', '33729026', '33693537', '33639255', '33629115', '33605821', '33590212', '33556844', '33550409', '33542052', '33446525', '33412187', '33388427', '33367978', '33356316', '33355234', '33307820', '33295787', '33263786', '33156754', '33139294', '33116484', '33060611', '32993828', '32950529', '32930412', '32891946', '32715778']",100
Paraquat dichloride,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C.[Cl-].[Cl-],DTXSID7024243,"['35929242', '35881539', '35595893', '34915550', '34580234', '33631232', '33528289', '32788383', '32559567', '32450442', '31223032', '30359726', '30342837', '27788145', '26089164', '24593876', '24389362', '23963992', '23523781', '22563778', '22112368', '21734449', '21447478', '19650582', '18836921', '18788754', '18161502', '17499852', '17438367', '17341480', '16871121', '16495354', '16035207', '12974543', '12504350', '10452837', '8783814', '7655420', '8107468', '8386923', '1447483', '1654824', '2266608', '2482348', '2810888', '3044980', '3824868', '3747458', '3727354', '2869523', '6636503', '7062288', '7378602', '718190', '1242886']",55
Chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,DTXSID0022808,"['35970279', '35708773', '35626634', '35597345', '35438391', '35358871', '34664726', '34529856', '34285765', '34230451', '33858192', '33801329', '33485972', '33346635', '33167415', '33107339', '32960520', '32866265', '32852120', '32780823', '32712372', '32567384', '32528650', '32479786', '32468014', '32450478', '32450360', '32334324', '32327675', '32245194', '32179810', '32143847', '32121122', '32108447', '32088265', '32025768', '32005270', '31875650', '31806060', '31561895', '31557839', '31514548', '31422163', '31381965', '31371483', '31324950', '31298824', '31292703', '31264722', '31262903', '31198949', '31154060', '31150782', '31148094', '31022455', '30880486', '30841456', '30670041', '32564578', '30587176', '30581006', '30529166', '30367514', '29913214', '29729269', '29618426', '29448305', '29352450', '29308860', '29256128', '29250824', '29247925', '29227273', '29186521', '29029322', '28976233', '28928138', '28904299', '28811247', '28787011', '28784133', '28778767', '28719185', '28717109', '28717101', '28189648', '28188341', '28115551', '28019033', '27937085', '27759057', '27733950', '27397540', '27344345', '27302585', '27189101', '27168224', '27124109', '27082594', '27033412']",100
"Glyburide, Glibenclamide",COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,DTXSID0037237,"['36155770', '36077003', '35802659', '35488439', '35400345', '35185385', '34726697', '34463263', '34365913', '34290084', '34052309', '34037304', '33822887', '33761602', '33292127', '33089741', '33080394', '32908952', '32762264', '32673838', '32555139', '32534114', '32471245', '32452426', '32379777', '32167222', '32086630', '32077986', '31834465', '31804743', '31655149', '31348760', '31300552', '31221947', '31119887', '30827222', '30684309', '30610963', '30537701', '30535571', '30376733', '30107729', '29990844', '29968920', '29960115', '29801176', '29708459', '29121458', '28987074', '28864502', '28847172', '28842488', '28839103', '28560538', '28412370', '28412320', '28380448', '28355145', '28306532', '28097882', '27667183', '27561267', '27528423', '27217490', '27208974', '27163280', '26940333', '26925503', '26883446', '26855365', '26850786', '26824037', '26704340', '26609764', '26438614', '26142827', '26132275', '25887793', '25862064', '25817734', '25803314', '25749145', '25730804', '25730219', '25216263', '25113133', '25078646', '25077824', '24907587', '24892833', '24867503', '24760764', '24760747', '24713348', '24638940', '24611684', '24577929', '24552042', '24462785', '24064907']",100
Tartrazine,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],DTXSID1021455,"['36012044', '35782077', '35385011', '35094478', '34681664', '33819548', '33527240', '33011351', '32115014', '31243985', '31032366', '30663318', '30368991', '30205807', '29144073', '29028503', '28841995', '28458012', '28454783', '28356238', '28264634', '28128965', '27450339', '26404013', '25750299', '23464814', '22562034', '22417523', '21790487', '21591756', '20667460', '20077213', '20041016', '19890754', '18687399', '17218045', '15204542', '14656361', '12160896', '9714339', '9467198', '8921121', '1493880', '3169655', '3692395', '3307706', '3741148', '4062556', '3889561', '2874003', '6377691', '6339890', '6189363', '7461513', '367711', '81807', '277126', '150265', '14217816', '14217004', '14417794']",61
Dicloxacillin,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O,DTXSID1022924,"['33998442', '32200333', '32080844', '29504695', '28721014', '27477905', '25708007', '25707701', '24913562', '24041894', '22157104', '21221670', '21094227', '14729754', '12195877', '11322179', '11149309', '10990387', '10491898', '8835360', '7888163', '8008725', '1877267', '2486968', '2923028', '3050336', '3429065', '3588519', '6511514', '6430827', '7106318', '7058819', '7231468', '568023', '622610', '776079', '1167045', '1234594', '4416730', '4422453', '4386771', '5174841']",42
Clavulanic acid,C1[C@@H]2N(C1=O)[C@H](/C(=C/CO)/O2)C(=O)O,DTXSID2022830,"['35902928', '35644665', '35409687', '35041328', '34767876', '34718582', '34407048', '34380446', '34128756', '34000058', '33927718', '33818360', '33471786', '33232565', '33125394', '32933574', '32888018', '32353167', '32270213', '32198411', '31905014', '31752750', '31649215', '31195950', '31047920', '30965213', '30932389', '30714529', '30691878', '30689630', '30592257', '30298362', '30051945', '29855772', '28882625', '28612667', '28546029', '28412864', '28333192', '28325626', '28253087', '27541930', '27657810', '27603302', '27003146', '26851420', '26707367', '26614821', '26534941', '26525800', '26381514', '26089185', '26078191', '26031914', '25767383', '25456687', '25344175', '25323182', '25265157', '25047044', '24565763', '24446890', '24429903', '23970624', '23954011', '23874514', '23635947', '22980180', '22537903', '22466919', '22276467', '22214602', '22082328', '21714770', '21638029', '21621627', '21215491', '21182651', '20928993', '20800921', '20615079', '20237968', '20199541', '20170750', '20073376', '19659879', '19585443', '19502657', '19419232', '18072421', '17486484', '17451560', '17357385', '17304160', '16426523', '16251779', '16118620', '16044108', '16044100', '15963025']",100
Nefazodone,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,DTXSID2023357,"['34750194', '33819548', '33609687', '33459228', '32848075', '32285503', '31271030', '31247926', '29609830', '29256080', '29185916', '28369597', '27613715', '27351191', '27288927', '27097157', '27046439', '26821276', '26735163', '25860621', '24752500', '24374264', '24362450', '23726864', '23401306', '22981620', '22806583', '22164246', '21540358', '21112467', '19807208', '19362101', '18690722', '18524759', '18344530', '18332080', '17609231', '17574934', '16533017', '16410371', '15699293', '15576285', '15554748', '15501389', '15185486', '15083939', '12904104', '12873632', '12733855', '12633152', '11206046', '11048561', '10999575', '10818655', '10705571', '10703760', '10668858', '10577608', '10509438', '10336110', '10333980', '10068386', '9819077', '9469504', '9326874', '9326873', '9090573', '8885123', '8877313', '8615427', '8626364', '8626362', '8626361', '8587855', '7992822', '7961546', '1319913']",77
Nifedipine,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,DTXSID2025715,"['35639565', '35383727', '35321852', '34739303', '34653484', '34498840', '34411733', '34385102', '34269800', '34187394', '34109683', '34048878', '33824114', '33813278', '33789217', '33709265', '33555964', '33546057', '33109927', '33098358', '33053362', '33021397', '32974907', '32914673', '32753011', '32576620', '32535746', '32522578', '32469285', '32338825', '32336319', '32314600', '32186155', '31980638', '31940248', '31916266', '31913654', '31792773', '31721714', '31709706', '31626793', '31618660', '31599005', '31526813', '31378964', '31369604', '31228558', '31204517', '30988616', '30965050', '30784327', '30659932', '30629744', '30394170', '30367827', '30365015', '30204768', '30142320', '30028256', '29803978', '29718449', '29656005', '29567537', '29468458', '29449621', '29438598', '29274391', '29266790', '29233021', '29232282', '29174591', '29129665', '29048755', '28832423', '28801600', '28660616', '28611390', '28609094', '28493876', '28480360', '28453742', '28446201', '28441551', '28438436', '28435258', '28429868', '28355887', '28344076', '28081785', '28042936', '28034363', '27939722', '27790936', '27554916', '27666601', '27621282', '27621162', '27613148', '27520758', '27511009']",100
Perfluorooctanesulfonic acid,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,DTXSID3031864,"['36231722', '36191484', '36182800', '36174755', '36116625', '36113621', '36085159', '36043461', '35971705', '35934180', '35914335', '35907536', '35881550', '35863418', '35860956', '35810818', '35753273', '35752723', '35611390', '35597289', '35483471', '35475652', '35472559', '35457000', '35454153', '35447424', '35427595', '35395262', '35337807', '35325771', '35255338', '35217058', '35194992', '35143854', '35002976', '34998808', '34990607', '34933042', '34932308', '34929288', '34915281', '34896592', '34875017', '34861291', '34836157', '34801790', '34793599', '34769660', '34762985', '34735953', '34728236', '34695511', '34677019', '34563660', '34547448', '34536543', '34520981', '34509758', '34454526', '34444092', '34391986', '34363875', '34298317', '34284018', '34261219', '34246716', '34224775', '34185510', '34182087', '34169723', '34157464', '34134420', '34133149', '34088118', '34081971', '33984575', '33982557', '33976266', '33963058', '33916482', '33890111', '33844015', '33839621', '33838175', '33823190', '33819618', '33812015', '33773143', '33754950', '33739580', '33730865', '33677611', '33605484', '33601665', '33497742', '33484797', '33483757', '33444659', '33396145', '33378168']",100
