,Pmid,Sentences,PHENOTYPE,COMPOUND,Has Match,Cause Match,Effect Match,Verb Match
0,35806386,"Interestingly,  only the combination of VIC + rifabutin induced remarkable levels of cytotoxicity in resistant KBV20C cells, whereas other combinations (VIC + rifampin, VIC + rifapentine, and VIC + rifaximin) induced less cytotoxicity.","['cytotoxicity', 'less cytotoxicity']","['VIC', 'rifabutin', 'VIC', 'rifampin', 'VIC', 'rifapentine', 'rifaximin']",True,Vic,Cytotoxicity,induced
1,35806386,"Interestingly,  only the combination of VIC + rifabutin induced remarkable levels of cytotoxicity in resistant KBV20C cells, whereas other combinations (VIC + rifampin, VIC + rifapentine, and VIC + rifaximin) induced less cytotoxicity.","['cytotoxicity', 'less cytotoxicity']","['VIC', 'rifabutin', 'VIC', 'rifampin', 'VIC', 'rifapentine', 'rifaximin']",True,Vic,Less Cytotoxicity,induced
2,35806386,"Interestingly,  only the combination of VIC + rifabutin induced remarkable levels of cytotoxicity in resistant KBV20C cells, whereas other combinations (VIC + rifampin, VIC + rifapentine, and VIC + rifaximin) induced less cytotoxicity.","['cytotoxicity', 'less cytotoxicity']","['VIC', 'rifabutin', 'VIC', 'rifampin', 'VIC', 'rifapentine', 'rifaximin']",True,Rifabutin,Cytotoxicity,induced
3,35806386,"Interestingly,  only the combination of VIC + rifabutin induced remarkable levels of cytotoxicity in resistant KBV20C cells, whereas other combinations (VIC + rifampin, VIC + rifapentine, and VIC + rifaximin) induced less cytotoxicity.","['cytotoxicity', 'less cytotoxicity']","['VIC', 'rifabutin', 'VIC', 'rifampin', 'VIC', 'rifapentine', 'rifaximin']",True,Rifabutin,Less Cytotoxicity,induced
4,35806386,"Interestingly,  only the combination of VIC + rifabutin induced remarkable levels of cytotoxicity in resistant KBV20C cells, whereas other combinations (VIC + rifampin, VIC + rifapentine, and VIC + rifaximin) induced less cytotoxicity.","['cytotoxicity', 'less cytotoxicity']","['VIC', 'rifabutin', 'VIC', 'rifampin', 'VIC', 'rifapentine', 'rifaximin']",True,Vic,Cytotoxicity,induced
5,35806386,"Interestingly,  only the combination of VIC + rifabutin induced remarkable levels of cytotoxicity in resistant KBV20C cells, whereas other combinations (VIC + rifampin, VIC + rifapentine, and VIC + rifaximin) induced less cytotoxicity.","['cytotoxicity', 'less cytotoxicity']","['VIC', 'rifabutin', 'VIC', 'rifampin', 'VIC', 'rifapentine', 'rifaximin']",True,Vic,Less Cytotoxicity,induced
6,35806386,"Interestingly,  only the combination of VIC + rifabutin induced remarkable levels of cytotoxicity in resistant KBV20C cells, whereas other combinations (VIC + rifampin, VIC + rifapentine, and VIC + rifaximin) induced less cytotoxicity.","['cytotoxicity', 'less cytotoxicity']","['VIC', 'rifabutin', 'VIC', 'rifampin', 'VIC', 'rifapentine', 'rifaximin']",True,Rifampin,Cytotoxicity,induced
7,35806386,"Interestingly,  only the combination of VIC + rifabutin induced remarkable levels of cytotoxicity in resistant KBV20C cells, whereas other combinations (VIC + rifampin, VIC + rifapentine, and VIC + rifaximin) induced less cytotoxicity.","['cytotoxicity', 'less cytotoxicity']","['VIC', 'rifabutin', 'VIC', 'rifampin', 'VIC', 'rifapentine', 'rifaximin']",True,Rifampin,Less Cytotoxicity,induced
8,35806386,"Interestingly,  only the combination of VIC + rifabutin induced remarkable levels of cytotoxicity in resistant KBV20C cells, whereas other combinations (VIC + rifampin, VIC + rifapentine, and VIC + rifaximin) induced less cytotoxicity.","['cytotoxicity', 'less cytotoxicity']","['VIC', 'rifabutin', 'VIC', 'rifampin', 'VIC', 'rifapentine', 'rifaximin']",True,Vic,Cytotoxicity,induced
9,35806386,"Interestingly,  only the combination of VIC + rifabutin induced remarkable levels of cytotoxicity in resistant KBV20C cells, whereas other combinations (VIC + rifampin, VIC + rifapentine, and VIC + rifaximin) induced less cytotoxicity.","['cytotoxicity', 'less cytotoxicity']","['VIC', 'rifabutin', 'VIC', 'rifampin', 'VIC', 'rifapentine', 'rifaximin']",True,Vic,Less Cytotoxicity,induced
10,35806386,"Interestingly,  only the combination of VIC + rifabutin induced remarkable levels of cytotoxicity in resistant KBV20C cells, whereas other combinations (VIC + rifampin, VIC + rifapentine, and VIC + rifaximin) induced less cytotoxicity.","['cytotoxicity', 'less cytotoxicity']","['VIC', 'rifabutin', 'VIC', 'rifampin', 'VIC', 'rifapentine', 'rifaximin']",True,Rifapentine,Cytotoxicity,induced
